,initial_ke,mid1_ratio,mid2_ratio,retardation,tof_min,tof_std
0,5.0,0.08,0.2,-1.0,0.321031,0.00012135644626867113
0,51.0,0.08,0.2,-1.0,0.0933992,3.646601252862561e-05
0,7.0,0.08,0.2,-1.0,0.264388,9.876651061605463e-05
0,76.0,0.08,0.2,-1.0,0.0763807,2.5907139660519153e-05
0,9.0,0.08,0.2,-1.0,0.230048,9.679357661919208e-05
0,1.3,0.08,0.3,-1.0,1.03058,0.00030283376006907215
0,1.6,0.08,0.3,-1.0,0.762776,0.00024997414290003027
0,101.0,0.08,0.3,-1.0,0.0662109,2.5352078048165343e-05
0,13.0,0.08,0.3,-1.0,0.188794,9.874710258767544e-05
0,151.0,0.08,0.3,-1.0,0.0541243,1.8744125946428544e-05
0,17.0,0.08,0.3,-1.0,0.163958,7.395393741855233e-05
0,2.0,0.08,0.3,-1.0,0.608617,0.0002127594351874946
0,26.0,0.08,0.3,-1.0,0.131606,5.437530574353783e-05
0,3.0,0.08,0.3,-1.0,0.444285,0.0001735772810599299
0,301.0,0.08,0.3,-1.0,0.0383347,1.1115281015328608e-05
0,5.0,0.08,0.3,-1.0,0.321022,0.00014591692267304168
0,51.0,0.08,0.3,-1.0,0.093399,4.0903126726622276e-05
0,7.0,0.08,0.3,-1.0,0.264383,0.00013213444926248621
0,76.0,0.08,0.3,-1.0,0.0763806,3.115608183762208e-05
0,9.0,0.08,0.3,-1.0,0.230045,9.57396821979349e-05
0,1.3,0.08,0.4,-1.0,1.03029,0.00030131960646457336
0,1.6,0.08,0.4,-1.0,0.762654,0.0002584945228767465
0,101.0,0.08,0.4,-1.0,0.0662112,2.2806051680147688e-05
0,13.0,0.08,0.4,-1.0,0.188794,8.950875193781919e-05
0,151.0,0.08,0.4,-1.0,0.0541246,1.6862962139268646e-05
0,17.0,0.08,0.4,-1.0,0.163958,7.87726853986421e-05
0,2.0,0.08,0.4,-1.0,0.608557,0.00021423167147747963
0,26.0,0.08,0.4,-1.0,0.131606,6.0713241293051335e-05
0,3.0,0.08,0.4,-1.0,0.444261,0.00017113541381029435
0,301.0,0.08,0.4,-1.0,0.0383349,9.577111513137616e-06
0,5.0,0.08,0.4,-1.0,0.321015,0.00013138345114163831
0,51.0,0.08,0.4,-1.0,0.0933988,4.005304609077035e-05
0,7.0,0.08,0.4,-1.0,0.26438,9.671378549395491e-05
0,76.0,0.08,0.4,-1.0,0.0763809,2.8089632930367166e-05
0,9.0,0.08,0.4,-1.0,0.230043,0.00010432756125818213
0,1.3,0.08,0.5,-1.0,1.03,0.00030780933904836087
0,1.6,0.08,0.5,-1.0,0.76253,0.0002399623713694099
0,101.0,0.08,0.5,-1.0,0.0662107,2.1587526395928184e-05
0,13.0,0.08,0.5,-1.0,0.188791,7.86138846333331e-05
0,151.0,0.08,0.5,-1.0,0.0541243,1.6037816516618166e-05
0,17.0,0.08,0.5,-1.0,0.163956,6.798808356902788e-05
0,2.0,0.08,0.5,-1.0,0.60849,0.0001854747929245772
0,26.0,0.08,0.5,-1.0,0.131605,5.342395543928132e-05
0,3.0,0.08,0.5,-1.0,0.444237,0.00016216731668810646
0,301.0,0.08,0.5,-1.0,0.0383347,9.61253246005313e-06
0,5.0,0.08,0.5,-1.0,0.321005,0.00013189158109053227
0,51.0,0.08,0.5,-1.0,0.0933986,3.490402416799129e-05
0,7.0,0.08,0.5,-1.0,0.264373,0.00010894841942515302
0,76.0,0.08,0.5,-1.0,0.0763803,2.64979024110198e-05
0,9.0,0.08,0.5,-1.0,0.230038,9.528516598685774e-05
0,1.3,0.08,0.6,-1.0,1.02971,0.0003012323531550491
0,1.6,0.08,0.6,-1.0,0.762403,0.00022935254719410838
0,101.0,0.08,0.6,-1.0,0.0662107,2.2581927811574632e-05
0,13.0,0.08,0.6,-1.0,0.18879,8.035707181620862e-05
0,151.0,0.08,0.6,-1.0,0.0541242,1.6647317213023537e-05
0,17.0,0.08,0.6,-1.0,0.163955,6.382502766035367e-05
0,2.0,0.08,0.6,-1.0,0.608428,0.00018136641262315675
0,26.0,0.08,0.6,-1.0,0.131605,4.9620839974152715e-05
0,3.0,0.08,0.6,-1.0,0.444216,0.00014707813370741014
0,301.0,0.08,0.6,-1.0,0.0383347,9.871519312870719e-06
0,5.0,0.08,0.6,-1.0,0.320996,0.00011023667077772596
0,51.0,0.08,0.6,-1.0,0.0933984,3.732538710243258e-05
0,7.0,0.08,0.6,-1.0,0.264369,0.00012392573563784092
0,76.0,0.08,0.6,-1.0,0.0763802,2.793645947227609e-05
0,9.0,0.08,0.6,-1.0,0.230035,0.00011170888714692146
0,1.3,0.08,0.7,-1.0,1.02943,0.00031738404430428944
0,1.6,0.08,0.7,-1.0,0.762282,0.00021291787044667534
0,101.0,0.08,0.7,-1.0,0.066211,1.8277072576796052e-05
0,13.0,0.08,0.7,-1.0,0.188788,7.933947987909118e-05
0,151.0,0.08,0.7,-1.0,0.0541245,1.3748111348507273e-05
0,17.0,0.08,0.7,-1.0,0.163955,5.9160708834161814e-05
0,2.0,0.08,0.7,-1.0,0.608365,0.00018131279751495134
0,26.0,0.08,0.7,-1.0,0.131605,4.512874757825379e-05
0,3.0,0.08,0.7,-1.0,0.444189,0.00013358140683937463
0,301.0,0.08,0.7,-1.0,0.0383349,8.424596561826096e-06
0,5.0,0.08,0.7,-1.0,0.320987,0.00013876390440268875
0,51.0,0.08,0.7,-1.0,0.0933982,3.304629521483756e-05
0,7.0,0.08,0.7,-1.0,0.264364,0.0001062899027078877
0,76.0,0.08,0.7,-1.0,0.0763806,2.598312014283657e-05
0,9.0,0.08,0.7,-1.0,0.230032,0.0001011773688487666
0,1.3,0.08,0.8,-1.0,1.02917,0.0003293836392119721
0,1.6,0.08,0.8,-1.0,0.762168,0.0002237033771132245
0,101.0,0.08,0.8,-1.0,0.0662109,2.330344584667828e-05
